Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,lowest_cumulative_price,highest_profit
2021-03-31,SHREECEM,EQ,29094.45,29094.45,29660.0,28756.0,29410.0,29465.4,29402.63,82764,243347890935000.0,23094.0,30777.0,0.3719,90.9,29374.5
2021-03-31,NESTLEIND,EQ,17165.0,17299.0,17299.0,16951.55,17100.0,17165.2,17149.28,110331,189209758000000.0,25670.0,50285.0,0.4558,90.9,17074.3
2021-03-31,BAJAJFINSV,EQ,9502.35,9512.35,9715.6,9450.0,9677.85,9668.6,9621.86,424140,408101528550000.0,57784.0,154494.0,0.3643,90.9,9577.7
2021-03-24,MARUTI,EQ,7186.25,7136.0,7158.4,7049.95,7060.0,7066.2,7093.04,457147,324256277415000.0,63062.0,137921.0,0.3017,90.9,6975.3
2021-03-24,ULTRACEMCO,EQ,6939.1,6890.5,6944.0,6840.0,6840.0,6858.65,6887.9,716392,493443811690000.0,63493.0,283341.0,0.3954999999999999,90.9,6767.75
2021-03-24,BAJFINANCE,EQ,5378.8,5374.0,5374.0,5260.0,5278.0,5270.3,5298.86,1737643,920752985390000.0,107183.0,346628.0,0.1995,90.9,5179.400000000001
2021-03-30,DRREDDY,EQ,4406.0,4429.95,4527.45,4421.05,4515.0,4518.2,4503.31,866350,390144560660000.0,77755.0,357518.0,0.4127000000000001,90.9,4427.3
2021-03-30,DRREDDY,EQ,4406.0,4429.95,4527.45,4421.05,4515.0,4518.2,4503.31,866350,390144560660000.0,77755.0,357518.0,0.4127,128.1,4390.099999999999
2021-03-31,BAJAJ-AUTO,EQ,3666.7,3650.0,3683.6,3612.05,3680.4,3670.6,3646.38,694645,253293742505000.03,45810.0,402553.0,0.5795,90.9,3579.7
2021-03-31,BRITANNIA,EQ,3616.0,3616.0,3655.0,3592.5,3610.0,3625.05,3629.85,441583,160287882845000.0,38091.0,200732.0,0.4546,90.9,3534.15
2021-03-31,TCS,EQ,3158.55,3155.0,3205.0,3132.0,3175.3,3177.85,3177.88,3530069,1121813515305000.0,156653.0,1236712.0,0.3503,90.9,3086.95
